gpu num is: 6
model original data nums:10571
add 71 points, now there are 109860 points
add 90 points, now there are 110021 points
add 89 points, now there are 110200 points
add 80 points, now there are 110369 points
add 92 points, now there are 110541 points
add 92 points, now there are 110725 points
add 94 points, now there are 110911 points
add 93 points, now there are 111098 points
add 92 points, now there are 111283 points
train 5200 steps, train loss: 20.815786361694336
add 89 points, now there are 111464 points
add 88 points, now there are 111641 points
add 72 points, now there are 111801 points
add 89 points, now there are 111962 points
add 92 points, now there are 112143 points
add 89 points, now there are 112324 points
add 93 points, now there are 112506 points
add 93 points, now there are 112692 points
add 94 points, now there are 112879 points
add 93 points, now there are 113066 points
add 94 points, now there are 113253 points
train 5300 steps, train loss: 20.70808982849121
add 88 points, now there are 113435 points
add 87 points, now there are 113610 points
add 72 points, now there are 113769 points
add 88 points, now there are 113929 points
add 92 points, now there are 114109 points
add 83 points, now there are 114284 points
add 87 points, now there are 114454 points
add 89 points, now there are 114630 points
add 93 points, now there are 114812 points
add 87 points, now there are 114992 points
add 90 points, now there are 115169 points
train 5400 steps, train loss: 20.596162796020508
add 88 points, now there are 115347 points
add 86 points, now there are 115521 points
add 62 points, now there are 115669 points
add 91 points, now there are 115822 points
add 93 points, now there are 116006 points
add 91 points, now there are 116190 points
add 93 points, now there are 116374 points
add 95 points, now there are 116562 points
add 95 points, now there are 116752 points
add 92 points, now there are 116939 points
add 94 points, now there are 117125 points
train 5500 steps, train loss: 20.48129653930664
add 87 points, now there are 117306 points
add 82 points, now there are 117475 points
add 69 points, now there are 117626 points
add 95 points, now there are 117790 points
add 93 points, now there are 117978 points
add 88 points, now there are 118159 points
add 94 points, now there are 118341 points
add 92 points, now there are 118527 points
add 94 points, now there are 118713 points
add 92 points, now there are 118899 points
add 90 points, now there are 119081 points
train 5600 steps, train loss: 20.36060333251953
add 91 points, now there are 119262 points
add 87 points, now there are 119440 points
add 61 points, now there are 119588 points
add 86 points, now there are 119735 points
add 92 points, now there are 119913 points
add 79 points, now there are 120084 points
add 90 points, now there are 120253 points
add 94 points, now there are 120437 points
add 94 points, now there are 120625 points
add 93 points, now there are 120812 points
add 96 points, now there are 121001 points
train 5700 steps, train loss: 20.233978271484375
add 92 points, now there are 121189 points
add 84 points, now there are 121365 points
add 69 points, now there are 121518 points
add 89 points, now there are 121676 points
add 94 points, now there are 121859 points
add 83 points, now there are 122036 points
add 90 points, now there are 122209 points
add 90 points, now there are 122389 points
add 94 points, now there are 122573 points
add 92 points, now there are 122759 points
add 96 points, now there are 122947 points
